Japanese,English
何,what
あ,a
あなた,you
言,words
行,line
人,Man
知,knowledge
事,case
彼女,she
お前,you
話,Story
来,Next
分か,minutes
者,person
聞,Listen
死,death
時,Time
ああ,ah
殺,murder
前,Before
中,During ~
達,reach
必要,need
あの,that
気,air
大丈夫,Are you okay
自分,myself
持,Hold
本当,TRUE
時間,time
我々,we
一,one
的,target
無,Nothing
ありがとう,thank you
家,House
会,Association
日,Day
年,Year
仕事,work
手,hand
一緒,together
後,rear
出来,Done
他,other
入,Enter
電話,phone
目,eye
様,Mr.
分,minutes
車,car
所,place
あんた,You
度,Every time
同じ,same
場所,place
問題,problem
子供,child
愛,Love
金,Money
名前,name
子,Child
信,Faith
さあ,here we go
少し,a bit
使,messenger
全て,all
世界,world
教え,lesson
通り,street
来る,come
上,Up
入れ,Get in
人間,human
行け,go
今日,today
物,thing
女,woman
呼,call
生き,alive
あれ,that
じゃあ,Well then
止め,stop
心配,anxiety
母,mother
連れ,companion
関係,relationship
外,outside
家族,family
起き,wake up
意味,meaning
神,God
警察,police
力,Power
最後,last
作,Made by
次,Next
息子,son
取,Tori
全部,All
間,while
書,book
捜査,investigation
起こ,wake up
回,times
別,another
情報,information
理由,reason
数,number
一人,One person
部屋,room
以上,that's all
人生,life
急,Sudden
食べ,eat
女性,woman
続け,continue
事件,incident
始め,start
最初,first
連絡,contact
まあ,oh dear
調べ,Investigation
安全,safety
下さ,Down
楽し,fun
殺人,murder
下,under
万,Ten thousand
友達,friend
約束,promise
二,two
結婚,marriage
無理,Impossible
感じ,feeling
得,profit
最高,the best
送,Sending
計画,plan
仲間,fellow
先,destination
可能,Possible
あいつ,that person
あと,After
明日,tomorrow
変わ,strange
聞こえ,I can hear it
確認,confirmation
命,life
着,arrival
与え,give
全員,Everyone
動,motion
理解,Understanding
二人,Two persons
開け,open
友人,friend
機,machine
不,No
あげ,Fried
離れ,apart
戦,war
先生,teacher
言え,say
質問,question
置,Place
犯人,culprit
受け,received
感,Feeling
第,No.
あぁ,Ahh
伝え,Legend
素晴らし,Wonderful
ドア,door
本,Book
乗,Squared
用,for
感謝,thanks
正し,Correct
言葉,words
大,Big
立,standing
写真,photograph
２人,2 people
説明,explanation
博士,doctor
強,strength
絶対,absolute
座,seat
国,Country
向か,Across the street
名,given name
ある,be
野郎,Bastard
番,number
一番,number one
重要,important
状況,situation
元気,fine
水,water
変え,change
十分,sufficient
週間,week
やあ,Hi
父親,father
間違い,error
王,king
了解,roger that
相手,partner
員,member
声,voice
会え,See you
音,sound
多く,many
消え,vanish
会社,company
簡単,easy
選,Selection
残念,disappointing
自由,freedom
自身,himself
等,etc
一体,Together
人々,people
報告,report
読,reading
過ぎ,too much
通,General
アメリカ,America
元,Former
命令,order
高,high
体,body
大統領,president
月,Month
警官,police officer
語,word
学校,school
対,versus
決め,decision
真実,truth
初めて,first time
口,mouth
大変,hard
要,Essential
変,strange
戦争,war
学,studies
あそこ,over there
武器,weapon
店,shop
母親,mother
刑事,detective
気持ち,feeling
間違,mistake
運,luck
記録,record
光,light
手伝,help
深,deep
落ち着,calm down
存在,existence
実,fruit
役,role
病院,hospital
住,residence
責任,responsibility
あっ,Ah
普通,usually
行動,action
大きな,big
監視,surveillance
協力,cooperation
多分,perhaps
実際,actual
足,feet
地球,earth
生活,life
任せ,leave to
気分,feeling
解決,solution
結果,result
調査,investigation
研究,the study
何処,where
発見,discovery
場,place
大事,important
止ま,stop
興味,interest
大き,big
生,Living
なあ,Hey
運転,driving
ヶ月,months
多,Many
１人,1 person
番号,number
状態,situation
来い,come
開,Open
上手,good
済,done
場合,case
刑務,prison sentence
今度,next time
以外,other than
朝,morning
飛行,flight
あまり,not much
近く,near
後ろ,behind
目的,the purpose
歌,song
面白,Interesting
弁護,defense
客,customer
売,Sale
特別,special
昨日,yesterday
少な,little
認め,recognition
死体,cadaver
医者,doctor
装置,Device
共,Both
唯一,Only
あんな,That kind of thing
不明,not clear
限り,as long as
信用,credit
美し,beautiful
用意,preparation
話せ,talk
移動,move
映画,movie
美咲,Misaki
取引,transaction
最近,recently
現場,On-site
事故,accident
連中,guys
過去,past
全く,absolutely
選択,choice
完全,Perfect
信じ,believe
信頼,trust
町,town
何故,why
始ま,beginning
精神,spirit
付け,attached
あら,fault
女の子,girl
気づ,Notice
記憶,Memory
頑張,Do your best
2人,2 people
素敵,nice
身,body
価値,value
有,Yes
非常,emergency
三,three
最も,most
両親,parents
人物,person
生まれ,birth
警備,security
以前,Before
無事,Safely
聞け,Listen
決して,never
銀行,Bank
馬鹿,fool
裁判,trial
降り,descending
大学,university
州,state
今回,this time
空,Sky
経験,experience
本物,genuine
部,Department
化,transformation
未来,future
正直,Honesty
年間,yearly
無駄,waste
現れ,Appearance
島,island
病気,disease
内,Inside
風,Wind
結構,fine
治療,treatment
予定,schedule
点,point
1人,1 person
許可,permission
勇気,courage
最悪,worst
本気,Seriously
全然,not at all
任務,mission
日本,Japan
作戦,strategy
成功,success
進,Susumu
近づ,approach
品,Goods
消,Disappear
小さな,small
科学,science
放,release
向こう,beyond
事実,fact
食,food
関,Seki
戦い,Fight
少年,boy
爆発,explosion
現実,reality
保護,protection
地下,underground
隊,squad
地,earth
別れ,farewell
時代,era
使え,Use it
組織,organization
式,formula
落ち着け,Calm down
動物,animal
無し,none
下が,The bottom is
技術,technology
個人,individual
期待,expectations
調子,condition
線,line
局,Bureau
利用,use
主人,master
館,Hall
毎日,every day
付,With
当然,Of course
患者,patient
全,all
今朝,this morning
過ご,spend time
馬,Horse
あー,ah
あたし,I
立て,stand up
地獄,hell
：,:
合,If
続,Continued
陛下,His Majesty
小さ,small
火,fire
平気,I'm fine
世話,care
能力,ability
理子,Riko
検査,inspection
アレックス,Alex
木,wood
号,issue
山,Mountain
解,Solution
警部,Inspector
食事,meal
幸運,good luck
構,Structure
侵入,intrusion
駄目,No good
緊急,emergency
親父,father
気付,care
主,main
速,speed
代わり,substitute
休,Closed
原因,cause
警告,caveat
山里,mountain village
特に,especially
部下,subordinate
運命,destiny
到着,arrival
自殺,suicide
屋,shop
現在,the current
一部,part
行為,action
遺体,corpse